refdes,pin,voltage,current,rpin
VCOMP1,VCOMP1-0,179.94,60,0
VCOMP1,VCOMP1-1,0,-60,0
VCOMP0,VCOMP0-0,179.809,-59.9999,0.00166667
VCOMP0,VCOMP0-1,0.289804,59.9999,0.00166667
VCOMP2,VCOMP2-0,0.0996484,60,5e-07
VCOMP2,VCOMP2-1,0.0997684,-60,5e-07
