refdes,pin,voltage,current
BAT,0,8.096,4.0
BAT,1,0.0,-4.0
06x01_Conector_Male_M0,5,8.04674,-4.0
06x01_Conector_Male_M0,6,0.0160022,4.0
SW,0,8.08816,-4.0
SW,1,8.08815,4.0
R11_M0,2,8.05709,-4.0
R11_M0,1,8.05708,4.0
FM_M0,2,8.05506,-4.0
FM_M0,1,8.05505,4.0
M0-MOTOR,2,8.05128,-4.0
M0-MOTOR,1,8.05127,4.0
M0-MOTOR,3,0.00967922,4.0
M0-MOTOR,0,0.00968722,-4.0
