refdes,pin,voltage,current,rpin
VCOMP0,VCOMP0-0,8.096,4,0
VCOMP0,VCOMP0-1,0,-4,0
VCOMP1,VCOMP1-0,8.04674,-4,0.025
VCOMP1,VCOMP1-1,0.0160022,4,0.025
VCOMP2,VCOMP2-0,8.08816,-4,5e-07
VCOMP2,VCOMP2-1,8.08815,4,5e-07
VCOMP3,VCOMP3-0,8.05709,-4,5e-07
VCOMP3,VCOMP3-1,8.05708,4,5e-07
VCOMP4,VCOMP4-0,8.05506,-4,5e-07
VCOMP4,VCOMP4-1,8.05505,4,5e-07
VCOMP5,VCOMP5-0,8.05128,-4,5e-07
VCOMP5,VCOMP5-1,8.05127,4,5e-07
VCOMP6,VCOMP6-0,0.00967922,4,5e-07
VCOMP6,VCOMP6-1,0.00968722,-4,5e-07
