vrefdes,vpin,refdes,pin
VCOMP0,0,0R015,1
VCOMP0,1,0R015,2
VCOMP1,0,P2,1
VCOMP1,1,P2,2
VCOMP1,2,P2,3
VCOMP1,3,P2,4
VCOMP1,4,P2,5
VCOMP1,5,P2,6
VCOMP1,6,P1,1
VCOMP1,7,P1,2
VCOMP1,8,P1,3
VCOMP1,9,P1,4
VCOMP1,10,P1,5
VCOMP1,11,P1,6
VCOMP1,12,P1,7
VCOMP1,13,P1,8
VCOMP1,14,P1,9
VCOMP2,0,L2,6
VCOMP2,1,L2,5
VCOMP2,2,L2,4
VCOMP2,3,L2,3
VCOMP2,4,L2,7
VCOMP2,5,L2,8
VCOMP2,6,L2,9
VCOMP2,7,L2,10
VCOMP3,0,Q1,8
VCOMP3,1,Q1,7
VCOMP3,2,Q1,6
VCOMP3,3,Q1,5
VCOMP3,4,Q1,3
VCOMP3,5,Q1,2
VCOMP3,6,Q1,1
