vrefdes,vpin,refdes,pin
VCOMP0,0,CON-MC2,3
VCOMP0,1,CON-MC2,4
VCOMP1,0,CON-MC2,2
VCOMP1,1,CON-MC2,1
VCOMP2,0,IC,23
VCOMP2,1,IC,18
VCOMP2,2,IC,17
VCOMP2,3,IC,3
VCOMP2,4,IC,4
VCOMP2,5,IC,9
VCOMP2,6,IC,14
VCOMP2,7,IC,13
VCOMP2,8,IC,16
VCOMP2,9,IC,15
VCOMP3,0,IC,26
VCOMP3,1,IC,20
VCOMP3,2,IC,24
VCOMP3,3,IC,25
VCOMP3,4,IC,11
VCOMP3,5,IC,10
VCOMP3,6,IC,7
VCOMP3,7,IC,12
VCOMP3,8,IC,1
VCOMP3,9,IC,2
VCOMP3,10,IC,27
VCOMP3,11,IC,28
