x,y,layer1,layer2,voltage1,voltage2,current
-1665.34,-5221.63,TOP_LAYER,BOTTOM_LAYER,0.03651,0.0365101,-0.000100222
-1606.1,-5860.65,TOP_LAYER,BOTTOM_LAYER,0.0351614,0.0349937,0.170822
-1606.1,-5230.73,TOP_LAYER,BOTTOM_LAYER,0.0363193,0.0364278,-0.110612
-1606.1,-1451.21,TOP_LAYER,BOTTOM_LAYER,0.0384326,0.0382386,0.197713
-1448.62,-4915.77,TOP_LAYER,BOTTOM_LAYER,0.0352781,0.0353011,-0.0233824
-1448.62,-3026.01,TOP_LAYER,BOTTOM_LAYER,0.0375936,0.0380562,-0.471421
-1448.62,-2396.09,TOP_LAYER,BOTTOM_LAYER,0.0374554,0.0380325,-0.588073
-1448.62,-1136.24,TOP_LAYER,BOTTOM_LAYER,0.0379212,0.0377114,0.213724
-1448.62,-506.323,TOP_LAYER,BOTTOM_LAYER,0.0371718,0.0375388,-0.373976
-1409.24,-2566.52,TOP_LAYER,BOTTOM_LAYER,0.0377806,0.0380224,-0.373312
-1368.38,-5880.44,TOP_LAYER,BOTTOM_LAYER,0.0338684,0.0338572,0.0172068
-1370.06,-5221.63,TOP_LAYER,BOTTOM_LAYER,0.0363592,0.0363592,1.9884e-13
-1291.14,-5860.65,TOP_LAYER,BOTTOM_LAYER,0.0333262,0.0333877,-0.0626431
-1291.14,-2081.13,TOP_LAYER,BOTTOM_LAYER,0.0367612,0.0373449,-0.594842
-1291.14,-821.284,TOP_LAYER,BOTTOM_LAYER,0.0370565,0.0369475,0.111112
-1134.24,-1466.52,TOP_LAYER,BOTTOM_LAYER,8.08358,8.08358,1.09712e-11
-1134.24,-1366.52,TOP_LAYER,BOTTOM_LAYER,8.08358,8.08358,-3.56565e-11
-1134.24,-1266.52,TOP_LAYER,BOTTOM_LAYER,8.08358,8.08358,-2.19425e-11
-1134.24,-1166.52,TOP_LAYER,BOTTOM_LAYER,8.08358,8.08358,-3.56565e-11
-1134.24,-1066.52,TOP_LAYER,BOTTOM_LAYER,8.08358,8.08358,-3.56565e-11
-1134.24,-966.522,TOP_LAYER,BOTTOM_LAYER,8.08358,8.08358,-3.56565e-11
-1134.24,-866.522,TOP_LAYER,BOTTOM_LAYER,0.0365914,0.0365799,0.0177397
-1134.24,-766.522,TOP_LAYER,BOTTOM_LAYER,0.0365578,0.0365329,0.0384537
-1134.24,-666.522,TOP_LAYER,BOTTOM_LAYER,0.0365188,0.0364578,0.0940761
-1134.24,-566.522,TOP_LAYER,BOTTOM_LAYER,0.0364884,0.0364114,0.118852
-1134.24,-466.522,TOP_LAYER,BOTTOM_LAYER,0.0364509,0.0363648,0.132858
-1134.24,-366.522,TOP_LAYER,BOTTOM_LAYER,0.0364358,0.0363487,0.134601
-1133.66,-4915.77,TOP_LAYER,BOTTOM_LAYER,0.0333789,0.0338976,-0.528513
-1106.57,-5879.46,TOP_LAYER,BOTTOM_LAYER,0.0322791,0.0323852,-0.163823
-1035.63,-4465.13,TOP_LAYER,BOTTOM_LAYER,0.0339638,0.0337906,0.237253
-1035.63,-2065.13,TOP_LAYER,BOTTOM_LAYER,0.0362103,0.0364228,-0.290956
-976.176,-5860.65,TOP_LAYER,BOTTOM_LAYER,0.0316504,0.0318044,-0.156891
-976.176,-1451.21,TOP_LAYER,BOTTOM_LAYER,0.0357754,0.0360299,-0.259356
-976.176,-821.284,TOP_LAYER,BOTTOM_LAYER,0.0361718,0.0361796,-0.00794929
-935.634,-4465.13,TOP_LAYER,BOTTOM_LAYER,0.0337775,0.0335462,0.316638
-935.634,-2065.13,TOP_LAYER,BOTTOM_LAYER,0.0358323,0.0361305,-0.408168
-833.929,-5876.5,TOP_LAYER,BOTTOM_LAYER,0.0309891,0.0310719,-0.127918
-818.695,-4915.77,TOP_LAYER,BOTTOM_LAYER,0.0324332,0.0332417,-0.823834
-818.695,-1766.17,TOP_LAYER,BOTTOM_LAYER,0.0356557,0.0359162,-0.265457
-818.695,-1136.24,TOP_LAYER,BOTTOM_LAYER,0.0357216,0.0358052,-0.0852281
-818.695,-506.323,TOP_LAYER,BOTTOM_LAYER,0.0360145,0.0359904,0.0246233
-793.579,-3347.68,TOP_LAYER,BOTTOM_LAYER,0.032391,0.032391,-7.54029e-14
-661.215,-5860.65,TOP_LAYER,BOTTOM_LAYER,0.0297866,0.0302551,-0.477365
-661.215,-3970.89,TOP_LAYER,BOTTOM_LAYER,0.0309409,0.0308027,0.140868
-661.215,-3340.97,TOP_LAYER,BOTTOM_LAYER,0.0326668,0.0324119,0.259755
-661.215,-2711.05,TOP_LAYER,BOTTOM_LAYER,0.0336644,0.0336064,0.0591734
-661.215,-2081.13,TOP_LAYER,BOTTOM_LAYER,0.0351435,0.0354979,-0.361106
-661.215,-1451.21,TOP_LAYER,BOTTOM_LAYER,0.0354983,0.0356193,-0.123323
-661.215,-821.284,TOP_LAYER,BOTTOM_LAYER,0.0357275,0.0357395,-0.0122288
-568.181,-5876.5,TOP_LAYER,BOTTOM_LAYER,0.0290392,0.0296508,-0.944407
-503.735,-1766.17,TOP_LAYER,BOTTOM_LAYER,0.0351968,0.035351,-0.157138
-503.735,-1136.24,TOP_LAYER,BOTTOM_LAYER,0.0354378,0.0354783,-0.0412425
-503.735,-506.323,TOP_LAYER,BOTTOM_LAYER,0.0356216,0.0356075,0.0144152
-346.254,-3970.89,TOP_LAYER,BOTTOM_LAYER,0.0294903,0.0293591,0.133693
-346.254,-2711.05,TOP_LAYER,BOTTOM_LAYER,0.03345,0.0333497,0.102208
-346.254,-2081.13,TOP_LAYER,BOTTOM_LAYER,0.0346914,0.0349889,-0.303234
-346.254,-1451.21,TOP_LAYER,BOTTOM_LAYER,0.035154,0.0352224,-0.0696986
-346.254,-821.284,TOP_LAYER,BOTTOM_LAYER,0.0353778,0.0353811,-0.00339706
-188.774,-1766.17,TOP_LAYER,BOTTOM_LAYER,0.0348111,0.0349246,-0.115637
-188.774,-1136.24,TOP_LAYER,BOTTOM_LAYER,0.03512,0.0351369,-0.0172355
-188.774,-506.323,TOP_LAYER,BOTTOM_LAYER,0.0352766,0.035261,0.0159223
-31.2939,-2711.05,TOP_LAYER,BOTTOM_LAYER,0.0332354,0.032985,0.255178
-31.2939,-2081.13,TOP_LAYER,BOTTOM_LAYER,0.0343225,0.0345927,-0.275345
-31.2939,-1451.21,TOP_LAYER,BOTTOM_LAYER,0.0348278,0.0348687,-0.0416634
-31.2939,-821.284,TOP_LAYER,BOTTOM_LAYER,0.0350626,0.0350534,0.00943118
41.5775,-5562.25,TOP_LAYER,BOTTOM_LAYER,0.0243028,0.0243028,8.0544e-14
49.4536,-2930.5,TOP_LAYER,BOTTOM_LAYER,0.0323402,0.0323402,5.14111e-14
126.186,-3655.93,TOP_LAYER,BOTTOM_LAYER,0.028892,0.0292268,-0.341197
126.186,-1766.17,TOP_LAYER,BOTTOM_LAYER,0.0344897,0.0345765,-0.0883905
126.186,-1136.24,TOP_LAYER,BOTTOM_LAYER,0.0348269,0.0348188,0.00826674
126.186,-506.323,TOP_LAYER,BOTTOM_LAYER,0.0349696,0.034947,0.0230134
283.667,-5860.65,TOP_LAYER,BOTTOM_LAYER,0.0224153,0.0215288,0.903334
283.667,-3970.89,TOP_LAYER,BOTTOM_LAYER,0.0271933,0.0247965,2.4424
283.667,-3340.97,TOP_LAYER,BOTTOM_LAYER,0.0304138,0.0307603,-0.353081
283.667,-2711.05,TOP_LAYER,BOTTOM_LAYER,0.0324183,0.0322457,0.175856
283.667,-2081.13,TOP_LAYER,BOTTOM_LAYER,0.034017,0.0342709,-0.258766
283.667,-1451.21,TOP_LAYER,BOTTOM_LAYER,0.0345512,0.0345565,-0.00546581
283.667,-821.284,TOP_LAYER,BOTTOM_LAYER,0.0347888,0.0347529,0.0365181
309.112,-5388.84,TOP_LAYER,BOTTOM_LAYER,0.0222724,0.0208515,1.72437
327.814,-4684.96,TOP_LAYER,BOTTOM_LAYER,8.23012,8.23012,-5.60516e-11
383.915,-5391.51,TOP_LAYER,BOTTOM_LAYER,0.0220174,0.0208129,1.4619
441.147,-3655.93,TOP_LAYER,BOTTOM_LAYER,0.0287347,0.0293721,-0.649491
441.147,-3026.01,TOP_LAYER,BOTTOM_LAYER,0.0314935,0.0316753,-0.185217
441.147,-1766.17,TOP_LAYER,BOTTOM_LAYER,0.0342406,0.0342838,-0.0439993
441.147,-1136.24,TOP_LAYER,BOTTOM_LAYER,0.0345854,0.0345239,0.0626462
441.147,-506.323,TOP_LAYER,BOTTOM_LAYER,0.0347026,0.0346641,0.0392337
558.129,-4563.89,TOP_LAYER,BOTTOM_LAYER,8.23012,8.23012,3.23375e-11
598.627,-5860.65,TOP_LAYER,BOTTOM_LAYER,0.0200091,0.0196757,0.339761
598.627,-3970.89,TOP_LAYER,BOTTOM_LAYER,0.0266805,0.0236483,3.0898
598.627,-3340.97,TOP_LAYER,BOTTOM_LAYER,0.0297771,0.0298945,-0.119644
598.627,-2711.05,TOP_LAYER,BOTTOM_LAYER,0.0321679,0.0320071,0.163822
598.627,-2081.13,TOP_LAYER,BOTTOM_LAYER,0.0338088,0.0340188,-0.214002
598.627,-1451.21,TOP_LAYER,BOTTOM_LAYER,0.0343479,0.0342685,0.0809122
598.627,-821.284,TOP_LAYER,BOTTOM_LAYER,0.0345798,0.0344683,0.113646
629.176,-4481.54,TOP_LAYER,BOTTOM_LAYER,0.0189911,0.0189911,6.51207e-14
723.95,-5270.25,TOP_LAYER,BOTTOM_LAYER,8.29991,8.29341,16.8763
724.648,-4224.65,TOP_LAYER,BOTTOM_LAYER,0.0195345,0.020483,-0.468498
756.108,-4915.77,TOP_LAYER,BOTTOM_LAYER,0.0158435,0.0159825,-0.141562
756.108,-3655.93,TOP_LAYER,BOTTOM_LAYER,0.0285852,0.0292687,-0.696427
756.108,-1766.17,TOP_LAYER,BOTTOM_LAYER,0.0340874,0.0340232,0.0653779
756.108,-1136.24,TOP_LAYER,BOTTOM_LAYER,0.0344203,0.0342249,0.199139
756.108,-506.323,TOP_LAYER,BOTTOM_LAYER,0.0345026,0.0344183,0.0858867
909.97,-2715.18,TOP_LAYER,BOTTOM_LAYER,0.0313324,0.0315402,-0.211705
913.588,-5860.65,TOP_LAYER,BOTTOM_LAYER,0.0174635,0.0173881,0.0769142
964.366,-4465.13,TOP_LAYER,BOTTOM_LAYER,0.0155522,0.0153715,0.247356
964.366,-2065.13,TOP_LAYER,BOTTOM_LAYER,0.03328,0.0336316,-0.481417
999.541,-5270.25,TOP_LAYER,BOTTOM_LAYER,8.27946,8.29333,-36
1064.37,-4465.13,TOP_LAYER,BOTTOM_LAYER,0.0155408,0.0148681,0.921159
1064.37,-4265.13,TOP_LAYER,BOTTOM_LAYER,0.0169776,0.0161116,1.1857
1064.37,-3365.13,TOP_LAYER,BOTTOM_LAYER,0.0297182,0.0297196,-0.00190823
1064.37,-2065.13,TOP_LAYER,BOTTOM_LAYER,0.0330279,0.0330279,-1.0451e-13
1071.07,-1766.17,TOP_LAYER,BOTTOM_LAYER,0.0332755,0.0336146,-0.345541
1071.07,-1136.24,TOP_LAYER,BOTTOM_LAYER,0.0335808,0.0337245,-0.14643
1071.07,-506.323,TOP_LAYER,BOTTOM_LAYER,0.0338937,0.0339772,-0.0850218
1165.76,-1466.52,TOP_LAYER,BOTTOM_LAYER,0.0333953,0.0334985,-0.159455
1165.76,-1366.52,TOP_LAYER,BOTTOM_LAYER,0.0334568,0.0335225,-0.101379
1165.76,-1266.52,TOP_LAYER,BOTTOM_LAYER,0.0334972,0.0335584,-0.0945291
1165.76,-1166.52,TOP_LAYER,BOTTOM_LAYER,0.0335492,0.0335901,-0.0632794
1165.76,-1066.52,TOP_LAYER,BOTTOM_LAYER,0.0335796,0.0336339,-0.0838486
1165.76,-966.522,TOP_LAYER,BOTTOM_LAYER,0.0336181,0.0336695,-0.0793201
1165.76,-866.522,TOP_LAYER,BOTTOM_LAYER,0.0336501,0.0337141,-0.0987291
1165.76,-766.522,TOP_LAYER,BOTTOM_LAYER,0.0336876,0.0337535,-0.10168
1165.76,-666.522,TOP_LAYER,BOTTOM_LAYER,0.0337164,0.0338021,-0.132428
1228.55,-5860.65,TOP_LAYER,BOTTOM_LAYER,0.0150015,0.015014,-0.012674
1228.55,-1451.21,TOP_LAYER,BOTTOM_LAYER,0.0333558,0.0334643,-0.110604
1228.55,-821.284,TOP_LAYER,BOTTOM_LAYER,0.0336131,0.0337023,-0.0909786
1386.03,-2396.09,TOP_LAYER,BOTTOM_LAYER,0.0321651,0.0315827,0.593469
1386.03,-1136.24,TOP_LAYER,BOTTOM_LAYER,0.0334207,0.0334203,0.00041573
1543.51,-5860.65,TOP_LAYER,BOTTOM_LAYER,0.0129868,0.0129235,0.064477
1543.51,-4600.81,TOP_LAYER,BOTTOM_LAYER,0.00818829,0.00919142,-1.02219
1543.51,-1451.21,TOP_LAYER,BOTTOM_LAYER,0.0331799,0.0330851,0.0966223
1700.99,-5545.69,TOP_LAYER,BOTTOM_LAYER,0.012104,0.0120697,0.0350089
1700.99,-4285.85,TOP_LAYER,BOTTOM_LAYER,0.0100697,0.0122112,-2.18221
1860.38,-876.912,TOP_LAYER,BOTTOM_LAYER,0.0320618,0.0320591,0.00457202
1858.47,-4600.81,TOP_LAYER,BOTTOM_LAYER,0.00700444,0.00634276,0.674252
1865.76,-3816.52,TOP_LAYER,BOTTOM_LAYER,0.0214403,0.0218397,-0.61675
1903.68,-600.591,TOP_LAYER,BOTTOM_LAYER,0.0325364,0.032336,0.3446
1969.23,-5075.13,TOP_LAYER,BOTTOM_LAYER,8.36191,8.364,-16.8763
1969.23,-4793.24,TOP_LAYER,BOTTOM_LAYER,0.0019646,0,15.8245
2015.95,-5545.69,TOP_LAYER,BOTTOM_LAYER,0.0113953,0.0113482,0.0479805
2015.95,-4285.85,TOP_LAYER,BOTTOM_LAYER,0.0110678,0.0121793,-1.13258
2015.95,-3026.01,TOP_LAYER,BOTTOM_LAYER,0.0270169,0.0258834,1.15504
2015.95,-2396.09,TOP_LAYER,BOTTOM_LAYER,0.0302943,0.0303623,-0.0692301
2015.95,-1766.17,TOP_LAYER,BOTTOM_LAYER,0.0312523,0.0311395,0.114863
2015.95,-1136.24,TOP_LAYER,BOTTOM_LAYER,0.0315049,0.0315279,-0.0233876
2015.95,-506.323,TOP_LAYER,BOTTOM_LAYER,0.0324038,0.0322936,0.112301
2100.53,-1094.35,TOP_LAYER,BOTTOM_LAYER,0.0314925,0.0315262,-0.0578785
2140.89,-817.266,TOP_LAYER,BOTTOM_LAYER,0.0319212,0.0318733,0.0823246
2173.43,-5230.73,TOP_LAYER,BOTTOM_LAYER,0.0103591,0.0102192,0.142532
2173.43,-4600.81,TOP_LAYER,BOTTOM_LAYER,0.00896074,0.00813485,0.841584
2330.91,-4915.77,TOP_LAYER,BOTTOM_LAYER,0.00968372,0.00948605,0.201423
2330.91,-4285.85,TOP_LAYER,BOTTOM_LAYER,0.0124005,0.0127884,-0.395196
2330.91,-3655.93,TOP_LAYER,BOTTOM_LAYER,0.0202968,0.0215107,-1.23693
2330.91,-3026.01,TOP_LAYER,BOTTOM_LAYER,0.0274774,0.0258797,1.62806
2330.91,-1766.17,TOP_LAYER,BOTTOM_LAYER,0.0308437,0.0309869,-0.145849
2330.91,-1136.24,TOP_LAYER,BOTTOM_LAYER,0.0313686,0.0313994,-0.0313677
2390.76,-3446.52,TOP_LAYER,BOTTOM_LAYER,0.0236075,0.022734,1.34873
2390.76,-3346.52,TOP_LAYER,BOTTOM_LAYER,8.19376,8.19376,-3.01709e-11
2390.76,-3246.52,TOP_LAYER,BOTTOM_LAYER,8.19375,8.19144,3.57114
2390.76,-3146.52,TOP_LAYER,BOTTOM_LAYER,0.0236215,0.0260292,-3.71765
